pdf_name,label_key,year,type,forecast_year,horizon,pred_value,realized_value,error
spa_2021_mars_vor,verg landsframleidsla,2022,extrapolation,2021,1,4.1,8.6,-4.5
spa_2021_mars_vor,verg landsframleidsla,2023,extrapolation,2021,2,3.5,0.5,3.0
spa_2021_mars_vor,verg landsframleidsla,2024,extrapolation,2021,3,2.8,0.8,1.9999999999999998
spa_2021_mars_vor,samneysla,2021,forecast,2021,0,1.1,2.2,-1.1
spa_2021_mars_vor,samneysla,2022,extrapolation,2021,1,0.7,1.6,-0.9000000000000001
spa_2021_mars_vor,samneysla,2023,extrapolation,2021,2,-0.5,1.8,-2.3
spa_2021_mars_vor,samneysla,2024,extrapolation,2021,3,-0.4,2.1,-2.5
spa_2021_mars_vor,fjarmunamyndun,2021,forecast,2021,0,5.0,12.3,-7.300000000000001
spa_2021_mars_vor,fjarmunamyndun,2022,extrapolation,2021,1,4.3,6.9,-2.6000000000000005
spa_2021_mars_vor,fjarmunamyndun,2023,extrapolation,2021,2,5.7,1.6,4.1
spa_2021_mars_vor,fjarmunamyndun,2024,extrapolation,2021,3,2.3,7.7,-5.4
spa_2021_mars_vor,atvinnuvegafjarfesting,2021,forecast,2021,0,6.9,19.1,-12.200000000000001
spa_2021_mars_vor,atvinnuvegafjarfesting,2022,extrapolation,2021,1,7.6,15.2,-7.6
spa_2021_mars_vor,atvinnuvegafjarfesting,2023,extrapolation,2021,2,5.9,3.6,2.3000000000000003
spa_2021_mars_vor,atvinnuvegafjarfesting,2024,extrapolation,2021,3,3.8,7.0,-3.2
spa_2021_mars_vor,fjarfesting i ibudarhusnaedi,2021,forecast,2021,0,-6.7,-5.2,-1.5
spa_2021_mars_vor,fjarfesting i ibudarhusnaedi,2022,extrapolation,2021,1,4.9,-6.3,11.2
spa_2021_mars_vor,fjarfesting i ibudarhusnaedi,2023,extrapolation,2021,2,8.6,-2.3,10.899999999999999
spa_2021_mars_vor,fjarfesting i ibudarhusnaedi,2024,extrapolation,2021,3,3.3,18.9,-15.599999999999998
spa_2021_mars_vor,fjarfesting hins opinbera,2021,forecast,2021,0,17.7,18.7,-1.0
spa_2021_mars_vor,fjarfesting hins opinbera,2022,extrapolation,2021,1,-6.8,-0.9,-5.8999999999999995
spa_2021_mars_vor,fjarfesting hins opinbera,2023,extrapolation,2021,2,0.8,-1.2,2.0
spa_2021_mars_vor,fjarfesting hins opinbera,2024,extrapolation,2021,3,-4.8,-2.2,-2.5999999999999996
spa_2021_mars_vor,thjodarutgjold alls,2021,forecast,2021,0,2.1,7.1,-5.0
spa_2021_mars_vor,thjodarutgjold alls,2022,extrapolation,2021,1,3.2,6.4,-3.2
spa_2021_mars_vor,thjodarutgjold alls,2023,extrapolation,2021,2,3.1,1.6,1.5
spa_2021_mars_vor,thjodarutgjold alls,2024,extrapolation,2021,3,1.9,1.8,0.09999999999999987
spa_2021_mars_vor,utflutningur voru og thjonustu,2021,forecast,2021,0,10.3,12.7,-2.3999999999999986
spa_2021_mars_vor,utflutningur voru og thjonustu,2022,extrapolation,2021,1,16.8,20.6,-3.8000000000000007
spa_2021_mars_vor,utflutningur voru og thjonustu,2023,extrapolation,2021,2,10.1,6.3,3.8
spa_2021_mars_vor,utflutningur voru og thjonustu,2024,extrapolation,2021,3,8.4,-2.3,10.7
spa_2021_mars_vor,innflutningur voru og thjonustu,2021,forecast,2021,0,8.7,20.3,-11.600000000000001
spa_2021_mars_vor,innflutningur voru og thjonustu,2022,extrapolation,2021,1,12.5,19.7,-7.199999999999999
spa_2021_mars_vor,innflutningur voru og thjonustu,2023,extrapolation,2021,2,8.6,-1.1,9.7
spa_2021_mars_vor,innflutningur voru og thjonustu,2024,extrapolation,2021,3,6.7,3.3,3.4000000000000004
spa_2021_mars_vor,visitala neysluverds,2021,forecast,2021,0,2.6,4.4,-1.8000000000000003
spa_2021_mars_vor,visitala neysluverds,2022,extrapolation,2021,1,4.8,6.4,-1.6000000000000005
spa_2021_mars_vor,visitala neysluverds,2023,extrapolation,2021,2,3.8,5.0,-1.2000000000000002
spa_2021_mars_vor,visitala neysluverds,2024,extrapolation,2021,3,2.7,-0.7,3.4000000000000004
spa_2021_mars_vor,voru- og thjonustujofnudur,2021,forecast,2021,0,-0.1,-1.8,1.7
spa_2021_mars_vor,voru- og thjonustujofnudur,2022,extrapolation,2021,1,1.4,-0.7,2.0999999999999996
spa_2021_mars_vor,voru- og thjonustujofnudur,2023,extrapolation,2021,2,2.2,0.5,1.7000000000000002
spa_2021_mars_vor,voru- og thjonustujofnudur,2024,extrapolation,2021,3,3.0,-0.8,3.8
spa_2021_mars_vor,vidskiptajofnudur,2021,forecast,2021,0,0.9,-1.6,2.5
spa_2021_mars_vor,vidskiptajofnudur,2022,extrapolation,2021,1,2.1,-1.5,3.6
spa_2021_mars_vor,vidskiptajofnudur,2023,extrapolation,2021,2,2.8,1.1,1.6999999999999997
spa_2021_mars_vor,vidskiptajofnudur,2024,extrapolation,2021,3,3.5,-2.7,6.2
spa_2021_mars_vor,vlf a verdlagi hvers ars,2021,forecast,2021,0,3.129,3.251,-0.12199999999999989
