label_key,horizon,n,mae,rmse,bias,p50,p95
launavisitala m.v. fast verdlag,0,35,0.6285714285714286,0.8737439965050239,0.028571428571428515,0.3999999999999999,1.7999999999999998
launavisitala m.v. fast verdlag,1,32,1.28125,1.6364977849053142,-0.15625000000000017,1.1500000000000001,3.0349999999999997
launavisitala m.v. fast verdlag,2,30,1.99,2.47352649739867,-0.24333333333333326,2.0999999999999996,4.654999999999999
launavisitala m.v. fast verdlag,3,28,1.9392857142857143,2.4381638290202847,-0.20357142857142857,1.5,5.1
launavisitala m.v. fast verdlag,4,25,1.7280000000000002,2.3172397372736384,-0.008000000000000042,1.0,5.18
launavisitala m.v. fast verdlag,5,19,1.9421052631578946,2.6210684844162313,0.46842105263157885,0.9000000000000001,4.959999999999999
launavisitala m.v. fast verdlag,6,3,2.8333333333333335,3.235737937472687,2.8333333333333335,3.1,4.449999999999999
oliuverd,0,35,4.414285714285715,6.734198435703285,-1.2885714285714287,2.9000000000000004,18.619999999999997
oliuverd,1,32,17.98125,23.284356336390317,-2.58125,13.350000000000001,47.39999999999999
oliuverd,2,30,20.346666666666668,26.656768996510685,-4.62,16.0,63.475
oliuverd,3,28,22.52857142857143,27.99637731666622,-3.914285714285714,20.1,54.37999999999997
oliuverd,4,25,24.928,30.26480464169561,-8.032,20.1,61.68
oliuverd,5,19,24.521052631578947,29.503264761360686,-15.731578947368423,21.700000000000003,60.55
oliuverd,6,3,18.666666666666664,24.038441435889027,-6.133333333333332,18.7,35.349999999999994
raungengi,0,35,1.5685714285714285,2.0767419538443246,-0.5342857142857143,1.3000000000000003,4.2399999999999975
raungengi,1,32,4.325,5.304597062925704,-0.7062499999999999,3.25,9.415
raungengi,2,30,5.45,6.470110766697378,-2.01,4.1,11.975
raungengi,3,28,5.964285714285714,7.027903568734319,-2.5357142857142856,3.9,12.33
raungengi,4,25,6.008000000000001,7.17701887972994,-2.68,3.5,12.680000000000001
raungengi,5,19,5.3,6.78205837408332,-4.278947368421052,3.4,12.42
raungengi,6,3,2.3000000000000003,2.640075756488817,-2.3000000000000003,2.9,3.44
samneysla,0,35,0.94,1.2088955998880015,-0.6085714285714285,0.7000000000000002,2.3899999999999992
samneysla,1,32,1.3218750000000001,1.6295129640478472,-1.265625,0.9000000000000001,2.845
samneysla,2,30,1.3299999999999998,1.6019779440845414,-1.2633333333333332,0.8500000000000001,2.7649999999999992
samneysla,3,28,1.2678571428571428,1.5909341370941252,-1.2107142857142859,1.1,2.7649999999999997
